epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,13.4692,4.27891,6.00009,3.20917,3.2609,0,0.09044,0.25926,0.05965,0.02529,0.08247,0.33333,0.04396,0.0097,1.69902,3.34179,2.76104,1.54328,0,0,0,0,0,0,0,0,0
2,15.4332,4.16653,5.57265,3.12841,3.18556,0,0.10942,0.29352,0.06857,0.0267,0.07505,0.31481,0.04677,0.00971,1.71487,3.31652,2.75411,1.55116,0,5.9406e-05,1.9802e-05,5.9406e-05,1.9802e-05,5.9406e-05,1.9802e-05,5.9406e-05,1.9802e-05
3,17.4957,4.72718,6.53111,3.06014,3.63619,0,0.1239,0.22222,0.08069,0.02944,0.11061,0.24074,0.05411,0.01037,1.7384,3.3299,2.74507,1.5664,0,0.000117624,3.9208e-05,0.000117624,3.9208e-05,0.000117624,3.9208e-05,0.000117624,3.9208e-05
4,19.5982,4.53744,6.08731,3.09578,3.33623,0,0.1424,0.25926,0.08849,0.02969,0.10935,0.27778,0.04774,0.00939,1.76703,3.30136,2.73439,1.58571,0,0.000174654,5.8218e-05,0.000174654,5.8218e-05,0.000174654,5.8218e-05,0.000174654,5.8218e-05
5,21.5714,4.84345,6.15449,3.30038,3.68998,0,0.14209,0.31481,0.0834,0.03161,0.12363,0.27778,0.05394,0.01003,1.79988,3.30208,2.72142,1.61114,0,0.000230496,7.6832e-05,0.000230496,7.6832e-05,0.000230496,7.6832e-05,0.000230496,7.6832e-05
6,23.4322,4.18813,5.52651,3.16141,3.06344,0,0.16439,0.27778,0.09732,0.03753,0.16943,0.27778,0.07109,0.01299,1.84049,3.29777,2.69677,1.62947,0,0.00028515,9.505e-05,0.00028515,9.505e-05,0.00028515,9.505e-05,0.00028515,9.505e-05
7,25.4971,4.33648,5.85442,3.30449,3.23615,0,0.20226,0.2963,0.13614,0.05035,0.17521,0.20856,0.09458,0.01718,1.86907,3.30893,2.64852,1.63269,0,0.000338616,0.000112872,0.000338616,0.000112872,0.000338616,0.000112872,0.000338616,0.000112872
8,27.7628,4.285,5.87864,3.00293,3.24122,0,0.23707,0.31481,0.16672,0.06173,0.25595,0.22222,0.11229,0.01822,1.88573,3.32848,2.59268,1.63754,0,0.000390894,0.000130298,0.000390894,0.000130298,0.000390894,0.000130298,0.000390894,0.000130298
9,29.7847,4.58595,5.64906,3.13078,3.45362,0,0.28968,0.33333,0.21396,0.08025,0.28188,0.24074,0.14641,0.02252,1.90101,3.3425,2.54401,1.63895,0,0.000441984,0.000147328,0.000441984,0.000147328,0.000441984,0.000147328,0.000441984,0.000147328
10,31.9793,4.811,5.78133,3.0379,3.53828,0,0.3445,0.35185,0.27007,0.10177,0.27149,0.24074,0.13386,0.02196,1.89743,3.36225,2.47793,1.63153,0,0.000491886,0.000163962,0.000491886,0.000163962,0.000491886,0.000163962,0.000491886,0.000163962
11,34.0041,4.02728,5.44174,3.03943,2.98347,0,0.35979,0.35388,0.29908,0.12017,0.20538,0.2037,0.09127,0.01836,1.90558,3.38537,2.43937,1.63594,0,0.0005406,0.0001802,0.0005406,0.0001802,0.0005406,0.0001802,0.0005406,0.0001802
12,36.2646,3.86242,5.13809,2.92583,2.88853,0,0.45651,0.34232,0.33658,0.12654,0.2571,0.18519,0.10347,0.02056,1.91007,3.39551,2.42643,1.62955,0,0.000588126,0.000196042,0.000588126,0.000196042,0.000588126,0.000196042,0.000588126,0.000196042
13,38.8897,4.08812,4.81471,2.87625,3.00129,0,0.43387,0.34071,0.32022,0.12422,0.27774,0.18519,0.10753,0.02069,1.91121,3.40435,2.39664,1.62555,0,0.000634464,0.000211488,0.000634464,0.000211488,0.000634464,0.000211488,0.000634464,0.000211488
14,41.351,4.76558,5.12341,3.0139,3.53571,0,0.46271,0.38284,0.34094,0.13407,0.29526,0.18519,0.11249,0.02365,1.91026,3.41653,2.33566,1.62382,0,0.000679614,0.000226538,0.000679614,0.000226538,0.000679614,0.000226538,0.000679614,0.000226538
15,43.7267,3.28256,4.30871,2.68561,2.44407,0,0.38273,0.333,0.30296,0.12413,0.24059,0.16667,0.10324,0.02807,1.90557,3.42644,2.35929,1.61674,0,0.000723576,0.000241192,0.000723576,0.000241192,0.000723576,0.000241192,0.000723576,0.000241192
16,46.0896,3.79063,4.09536,2.69133,2.73253,0,0.40846,0.33333,0.31733,0.11663,0.23799,0.16667,0.10674,0.02615,1.91376,3.47832,2.39743,1.60736,0,0.00076635,0.00025545,0.00076635,0.00025545,0.00076635,0.00025545,0.00076635,0.00025545
17,48.5412,4.21194,4.57835,2.86569,3.05182,0,0.40767,0.3187,0.31667,0.11009,0.19729,0.2037,0.09886,0.02302,1.89773,3.48807,2.39228,1.60843,0,0.000807936,0.000269312,0.000807936,0.000269312,0.000807936,0.000269312,0.000807936,0.000269312
18,50.4441,3.9365,4.05654,2.63014,2.78257,0,0.40767,0.3187,0.31667,0.11009,0.19729,0.2037,0.09886,0.02302,1.89773,3.48807,2.39228,1.60843,0,0.000848334,0.000282778,0.000848334,0.000282778,0.000848334,0.000282778,0.000848334,0.000282778
19,52.5405,4.1389,4.15742,2.71262,2.95518,0,0.35322,0.46524,0.32453,0.1172,0.1793,0.35185,0.12256,0.03112,1.90032,3.54013,2.37051,1.63427,0,0.000887544,0.000295848,0.000887544,0.000295848,0.000887544,0.000295848,0.000887544,0.000295848
20,54.5093,3.57891,3.8187,2.64601,2.47902,0,0.35322,0.46524,0.32453,0.1172,0.1793,0.35185,0.12256,0.03112,1.90032,3.54013,2.37051,1.63427,0,0.000925566,0.000308522,0.000925566,0.000308522,0.000925566,0.000308522,0.000925566,0.000308522
21,56.8014,3.96428,4.23074,2.69957,2.93412,0,0.31857,0.33333,0.29338,0.1023,0.2373,0.18519,0.15667,0.0427,1.92522,3.57988,2.49498,1.66649,0,0.0009624,0.0003208,0.0009624,0.0003208,0.0009624,0.0003208,0.0009624,0.0003208
22,58.6197,4.01403,4.10048,2.55723,2.83967,0,0.31857,0.33333,0.29338,0.1023,0.2373,0.18519,0.15667,0.0427,1.92522,3.57988,2.49498,1.66649,0,0.000998046,0.000332682,0.000998046,0.000332682,0.000998046,0.000332682,0.000998046,0.000332682
23,60.6381,3.93847,4.17501,2.48354,2.88367,0,0.34194,0.42593,0.2961,0.09882,0.26307,0.31481,0.19138,0.05296,1.96833,3.621,2.52716,1.70196,0,0.0010325,0.000344168,0.0010325,0.000344168,0.0010325,0.000344168,0.0010325,0.000344168
24,62.6492,3.65636,4.11113,2.45019,2.68949,0,0.34194,0.42593,0.2961,0.09882,0.26307,0.31481,0.19138,0.05296,1.96833,3.621,2.52716,1.70196,0,0.00106577,0.000355258,0.00106577,0.000355258,0.00106577,0.000355258,0.00106577,0.000355258
25,64.6351,3.90495,3.96736,2.37845,2.96075,0,0.31364,0.44009,0.28724,0.0972,0.24112,0.28838,0.19911,0.05661,1.98678,3.63343,2.63758,1.71513,0,0.00109786,0.000365952,0.00109786,0.000365952,0.00109786,0.000365952,0.00109786,0.000365952
26,66.6849,3.79828,3.78974,2.36355,2.81999,0,0.31364,0.44009,0.28724,0.0972,0.24112,0.28838,0.19911,0.05661,1.98678,3.63343,2.63758,1.71513,0,0.00112875,0.00037625,0.00112875,0.00037625,0.00112875,0.00037625,0.00112875,0.00037625
27,68.9676,3.18438,3.47465,2.17379,2.39044,0,0.2779,0.46326,0.28315,0.09357,0.21736,0.35185,0.19635,0.05916,2.00827,3.64894,2.69291,1.72384,0,0.00115846,0.000386152,0.00115846,0.000386152,0.00115846,0.000386152,0.00115846,0.000386152
28,70.942,3.67721,3.65887,2.23429,2.74013,0,0.2779,0.46326,0.28315,0.09357,0.21736,0.35185,0.19635,0.05916,2.00827,3.64894,2.69291,1.72384,0,0.00118697,0.000395658,0.00118697,0.000395658,0.00118697,0.000395658,0.00118697,0.000395658
29,73.2043,3.28185,3.46661,2.21631,2.43079,0,0.31166,0.46296,0.3388,0.11389,0.22325,0.42593,0.22682,0.07229,2.00502,3.67737,2.4662,1.73066,0,0.0012143,0.000404768,0.0012143,0.000404768,0.0012143,0.000404768,0.0012143,0.000404768
